chunk_id,speech_id,leader,language,speech_date,speech_type,chunk_index,token_count,word_count,emo_neutral,emo_sadness,emo_disappointment,emo_realization,emo_approval,emo_annoyance,emo_disapproval,emo_admiration,emo_grief,emo_relief,emo_embarrassment,emo_fear,emo_nervousness,emo_remorse,emo_joy,emo_optimism,emo_disgust,emo_anger,emo_pride,emo_surprise,emo_desire,emo_caring,emo_love,emo_gratitude,emo_confusion,emo_excitement,emo_amusement,emo_curiosity,sent_neutral,sent_negative,sent_positive,fam_affiliative_positive,fam_threat_negative,fam_hostility,fam_cognitive_other,fam_neutral,valence
macron2022_c000,macron2022,macron,en,2022-12-31,new_year_address,0,157,130,0.14116442203521729,0.04113693907856941,0.008995250798761845,0.006195593625307083,0.031201817095279694,0.010068167932331562,0.008761623874306679,0.010149771347641945,0.006443585269153118,0.012928714975714684,0.0009425441385246813,0.0022589571308344603,0.003609574632719159,0.016641857102513313,0.00686090812087059,0.07823710888624191,0.0013528449926525354,0.0026624647434800863,0.0024732069578021765,0.0007459702901542187,0.10895787179470062,0.748461902141571,0.007983683608472347,0.09280364960432053,0.001234017196111381,0.002712644636631012,0.0006953089614398777,0.0033239107578992844,0.14820216596126556,0.006843347568064928,0.8449544310569763,0.748461902141571,0.04113693907856941,0.010068167932331562,0.10895787179470062,0.14116442203521729,0.8381110834889114
macron2022_c001,macron2022,macron,en,2022-12-31,new_year_address,1,81,71,0.3052298128604889,0.00229994161054492,0.004543031100183725,0.04987790063023567,0.20721907913684845,0.003871403867378831,0.003813620423898101,0.05393524840474129,0.0012651808792725205,0.012297607026994228,0.0006238700589165092,0.002988720778375864,0.001702624373137951,0.0011273629497736692,0.012906954623758793,0.38777291774749756,0.0008166097686626017,0.0006352983764372766,0.015770331025123596,0.0029956644866615534,0.06901151686906815,0.027389608323574066,0.0010048231342807412,0.015627576038241386,0.0013414685381576419,0.019344549626111984,0.0007235948578454554,0.000920993450563401,0.38316476345062256,0.019534990191459656,0.5973002910614014,0.38777291774749756,0.004543031100183725,0.003871403867378831,0.06901151686906815,0.3052298128604889,0.5777653008699417
macron2022_c002,macron2022,macron,en,2022-12-31,new_year_address,2,81,69,0.08288677036762238,0.008388906717300415,0.025516187772154808,0.006315914914011955,0.022899318486452103,0.0198505949229002,0.018661219626665115,0.013319112360477448,0.001122981309890747,0.0009694946347735822,0.0007898901239968836,0.0022665574215352535,0.0014923091512173414,0.003365003503859043,0.002100891200825572,0.21887461841106415,0.005507664754986763,0.0035221611615270376,0.0012452536029741168,0.001319207949563861,0.7831019163131714,0.016052719205617905,0.007346657570451498,0.005062291864305735,0.0024346993304789066,0.004198783542960882,0.0013572359457612038,0.005165410228073597,0.3339669406414032,0.6233216524124146,0.04271138086915016,0.21887461841106415,0.025516187772154808,0.0198505949229002,0.7831019163131714,0.08288677036762238,-0.5806102715432644
macron2022_c003,macron2022,macron,en,2022-12-31,new_year_address,3,137,116,0.1674836128950119,0.022025352343916893,0.03496299311518669,0.019203856587409973,0.008569363504648209,0.011318912729620934,0.006988923996686935,0.0024614636786282063,0.002235651249065995,0.0006113204872235656,0.002712892135605216,0.026794716715812683,0.009883517399430275,0.003130462486296892,0.0009561267215758562,0.030662264674901962,0.00296531873755157,0.0031694131903350353,0.00017881454550661147,0.0480346642434597,0.00797923281788826,0.005916318856179714,0.002511227037757635,0.0007927524857223034,0.24963049590587616,0.0032741790637373924,0.0010771763045340776,0.6553281545639038,0.5167768597602844,0.4405035078525543,0.042719658464193344,0.030662264674901962,0.03496299311518669,0.011318912729620934,0.6553281545639038,0.1674836128950119,-0.397783849388361
macron2022_c004,macron2022,macron,en,2022-12-31,new_year_address,4,160,137,0.08847004920244217,0.002313826931640506,0.003510053502395749,0.03542446345090866,0.36744436621665955,0.0047490475699305534,0.006660918705165386,0.15754128992557526,0.0009996520821005106,0.01703801564872265,0.000791642814874649,0.0007590179448015988,0.0005259386380203068,0.0017150160856544971,0.0076184701174497604,0.03676748275756836,0.0008602639427408576,0.0007657891255803406,0.014761068858206272,0.0011886468855664134,0.003687951248139143,0.013308124616742134,0.0010076703038066626,0.5016825199127197,0.0009763807174749672,0.004234610591083765,0.00052933010738343,0.00040738805546425283,0.3479629456996918,0.032018259167671204,0.6200188398361206,0.5016825199127197,0.003510053502395749,0.006660918705165386,0.03542446345090866,0.08847004920244217,0.5880005806684494
macron2022_c005,macron2022,macron,en,2022-12-31,new_year_address,5,147,126,0.3617909848690033,0.001909696846269071,0.005335517227649689,0.11845354735851288,0.515861451625824,0.006652349606156349,0.004548151511698961,0.01712968945503235,0.0007048555416986346,0.01215637382119894,0.0010001984192058444,0.0013776643900200725,0.0013292555231601,0.0010358794825151563,0.010084059089422226,0.05659518018364906,0.0012888549827039242,0.00072929059388116,0.007047536317259073,0.0009591522975824773,0.016605904325842857,0.0056773219257593155,0.0014090186450630426,0.004063824191689491,0.0015792693011462688,0.0048827496357262135,0.0012810889165848494,0.0005410904996097088,0.5729440450668335,0.039550237357616425,0.38750576972961426,0.515861451625824,0.005335517227649689,0.006652349606156349,0.11845354735851288,0.3617909848690033,0.34795553237199783
macron2022_c006,macron2022,macron,en,2022-12-31,new_year_address,6,138,112,0.122800812125206,0.0046647354029119015,0.014162843115627766,0.04225923493504524,0.14357304573059082,0.018569793552160263,0.006218630354851484,0.5170875787734985,0.0041695511899888515,0.035747915506362915,0.003577369498088956,0.0028795991092920303,0.0017871428281068802,0.0018296020571142435,0.04701300337910652,0.0664525106549263,0.0029117006342858076,0.00451686279848218,0.2720933258533478,0.00786524172872305,0.03593830019235611,0.012444905936717987,0.0015733592445030808,0.042280517518520355,0.0007089271675795317,0.04560627043247223,0.001159987528808415,0.00045701503404416144,0.1524331420660019,0.00844581238925457,0.8391211032867432,0.5170875787734985,0.014162843115627766,0.018569793552160263,0.04225923493504524,0.122800812125206,0.8306752908974886
macron2022_c007,macron2022,macron,en,2022-12-31,new_year_address,7,118,103,0.09235499799251556,0.0048194946721196175,0.010048179887235165,0.02365024760365486,0.15414027869701385,0.0041634696535766125,0.008183651603758335,0.031008636578917503,0.001922938390634954,0.004038756713271141,0.0012596797896549106,0.021891610696911812,0.014013724401593208,0.003986545372754335,0.007871748879551888,0.7463020086288452,0.0010898415930569172,0.0019189242739230394,0.004487934987992048,0.012339400127530098,0.07079607993364334,0.06097292900085449,0.0029810327105224133,0.002291647717356682,0.05184028297662735,0.02581501007080078,0.0007829417590983212,0.1342211365699768,0.46304062008857727,0.07106153666973114,0.4658978283405304,0.7463020086288452,0.021891610696911812,0.008183651603758335,0.1342211365699768,0.09235499799251556,0.39483629167079926
macron2022_c008,macron2022,macron,en,2022-12-31,new_year_address,8,152,131,0.30125340819358826,0.0011184397153556347,0.0017095169750973582,0.01470055989921093,0.43270358443260193,0.0030846099834889174,0.005638736765831709,0.01221624854952097,0.0004609961761161685,0.0015034383395686746,0.00021981392637826502,0.0018016676185652614,0.0010449117980897427,0.0008369105053134263,0.0018160672625526786,0.26089802384376526,0.0006246670382097363,0.0011444410774856806,0.0007066180114634335,0.0026490427553653717,0.023875601589679718,0.057345081120729446,0.006220856215804815,0.0018002850702032447,0.02262933738529682,0.00826420821249485,0.0006056651473045349,0.1474301815032959,0.7044099569320679,0.12692053616046906,0.16866950690746307,0.43270358443260193,0.0018016676185652614,0.005638736765831709,0.1474301815032959,0.30125340819358826,0.04174897074699402
macron2022_c009,macron2022,macron,en,2022-12-31,new_year_address,9,106,90,0.025851335376501083,0.0016615852946415544,0.001732540549710393,0.00823375303298235,0.03912494704127312,0.0030047385953366756,0.0034065747167915106,0.03225969895720482,0.0009910119697451591,0.0035497117787599564,0.0005237719160504639,0.0017728152452036738,0.0010827339719980955,0.0023415032774209976,0.00566911231726408,0.1331065148115158,0.0006816426175646484,0.0012557217851281166,0.0010084002278745174,0.008321398869156837,0.008124266751110554,0.015097523108124733,0.0027239916380494833,0.9242410063743591,0.0740501657128334,0.010766681283712387,0.0014025237178429961,0.21432310342788696,0.48420748114585876,0.09261567890644073,0.42317676544189453,0.9242410063743591,0.0023415032774209976,0.0034065747167915106,0.21432310342788696,0.025851335376501083,0.3305610865354538
