speech_id,leader,language,speech_date,speech_type,emo_admiration,emo_gratitude,emo_neutral,emo_approval,emo_realization,emo_pride,emo_excitement,emo_joy,emo_optimism,emo_relief,emo_surprise,emo_annoyance,emo_caring,emo_disappointment,emo_disapproval,emo_desire,emo_sadness,emo_embarrassment,emo_love,emo_fear,emo_grief,emo_confusion,emo_disgust,emo_anger,emo_remorse,emo_amusement,emo_nervousness,emo_curiosity,sent_positive,sent_neutral,sent_negative,fam_affiliative_positive,fam_threat_negative,fam_hostility,fam_cognitive_other,fam_neutral,valence,n_chunks
merkel2,merkel,en,2017-12-31,new_year_address,0.1298952697776258,0.11128273081267252,0.29528706409037114,0.22159773018211126,0.018881780141964555,0.006481305006309413,0.009635429206537083,0.026217031484702603,0.1559183919802308,0.011961577477632091,0.0011459864908829331,0.008241055510006845,0.09136339598335326,0.009836921317037195,0.009752344363369048,0.07876473616342991,0.0048357825842686,0.0006249523736187257,0.003062640249845572,0.0019669065834023057,0.0008760464130318724,0.0058302141726017,0.0009275172662455589,0.0011172428086865694,0.001474476369912736,0.0006087821413530037,0.002339279736042954,0.005847580143017695,0.652181226760149,0.25833167750388386,0.0894870761781931,0.41346799936145545,0.010287640208844095,0.010072257672436535,0.08682286776602269,0.29528706409037114,0.5626941505819559,10
merkel2020,merkel,en,2019-12-31,new_year_address,0.11271807685908344,0.3149272568213443,0.13247693526662058,0.225619252357218,0.03095705998647544,0.005833796600604223,0.01965046297603597,0.007344156102691259,0.3084591699557172,0.004908429963203768,0.003549246544328829,0.004800111831476291,0.03876301863541206,0.0048888793034065105,0.006613319869049721,0.0669031902992477,0.0033150643640611735,0.0005485359741012669,0.0020588239680768717,0.004352260659086621,0.0008979406007306857,0.001989869413793915,0.0010373102850280702,0.0010317671500767271,0.0016080417359868686,0.0007952779673764275,0.0014647635689470917,0.0021340633393265307,0.7171056916316351,0.24646504099170366,0.03642928064800799,0.6098050243324704,0.006249159147652487,0.006905067686198486,0.08383657783269882,0.13247693526662058,0.6806764109836271,9
merkel3,merkel,en,2018-12-31,new_year_address,0.1467945544152624,0.11945089145511803,0.23636016311744848,0.21214698110189703,0.04325320853644775,0.0055701878801402115,0.009831052105356421,0.02461813903775894,0.14137543437795508,0.007221151453753312,0.0013230091167820825,0.00851293078934153,0.07710769832030767,0.030836581562956173,0.012041336391121149,0.11093198188528833,0.06177395148228647,0.0008621986748443709,0.005374834724029319,0.001648749958904874,0.002301724701990477,0.0022307758724006512,0.0011807192285131249,0.001348259684164077,0.0020721484324894845,0.0009869583138626898,0.0035614646427954235,0.0019439925025734636,0.5264940245283974,0.3983258923722638,0.0751800808745126,0.43614894648392993,0.07206707265383254,0.013294415600183938,0.14493613214128548,0.23636016311744848,0.4513139436538849,9
putin2022,putin,en,2022-12-31,new_year_address,0.2081298335053196,0.19700511437523263,0.18515770577571608,0.18807944723150946,0.026878965679894794,0.011773908754218031,0.015881815740034323,0.026901054275433788,0.07626569624566897,0.010128218167334457,0.0015704661332578821,0.017762246054851195,0.1599817716050893,0.012543335250070826,0.023781020532954823,0.060514319920912385,0.008979164497842166,0.0009031980033879253,0.03959362760228528,0.007611080628438768,0.0020698902318889104,0.003270230943929743,0.0016007776245136154,0.003621982209469107,0.002092189727012407,0.0006399954396659847,0.00799080364363776,0.0018170671246480197,0.6241721676831896,0.21555066921494223,0.16027716689065777,0.4476658275181597,0.021409934058531442,0.02470062019049444,0.07872569840401411,0.18515770577571608,0.4638950007925318,11
putin2023,putin,en,2023-12-31,new_year_address,0.29730234295129776,0.05106946096445123,0.08961093922456105,0.2119521088898182,0.01791790205364426,0.08420024090446532,0.027353567148869235,0.060450603060113885,0.13766071138282618,0.019688721202934783,0.0019367772620171309,0.007417064858600497,0.22255228956540427,0.004707254779835542,0.005641177296638489,0.10086017443488042,0.004271128408921261,0.0015465083706658334,0.1868576278211549,0.002600145856073747,0.0025495197429942587,0.001163775702783217,0.0016226343577727675,0.0035773422569036484,0.00281092730195572,0.0009495097474427894,0.0018850542255677283,0.0018982283751635503,0.8625153402487437,0.13072284745673338,0.006761805309603612,0.5218719989061356,0.0051364042252923054,0.0076278094202280045,0.10225979952762525,0.08961093922456105,0.8557535349391401,6
putin2024,putin,en,2024-12-31,new_year_address,0.37043071910738945,0.05979142989963293,0.08090916369110346,0.2443578653037548,0.017939319310244173,0.06964159954804927,0.051605688873678446,0.041747387731447816,0.27553432434797287,0.012131614028476179,0.0026719101006165147,0.006134652532637119,0.15604116255417466,0.003981167450547218,0.005171833327040076,0.12218871479853988,0.0032189710764214396,0.001003625446173828,0.053492187696974725,0.003158226201776415,0.002168766164686531,0.0011986494209850207,0.001411602963344194,0.0024500485160388052,0.002200488350354135,0.0010783872858155519,0.001852081943070516,0.0022484200162580237,0.9550118744373322,0.04194220621138811,0.0030459247645922005,0.5166685730218887,0.004469216626603156,0.006938582519069314,0.12218871479853988,0.08090916369110346,0.95196594967274,4
putin2025,putin,en,2025-12-31,new_year_address,0.13863396421074867,0.07820055782794952,0.10662638433277608,0.17284509390592576,0.008104518335312606,0.008111273311078549,0.03583496809005737,0.06757120513357222,0.37802227437496183,0.007880408503115176,0.001522002392448485,0.0035043401177972553,0.32980225756764414,0.0021935607539489864,0.0037217296194285154,0.12101201117038726,0.002601371821947396,0.0003882165183313191,0.09581748023629189,0.002062040031887591,0.001424128795042634,0.0013570826267823577,0.0008259020163677633,0.001798764884006232,0.002555808681063354,0.0011079786345362663,0.0015707362908869982,0.0030314058996737,0.8012889862060547,0.19027111493051052,0.008439881168305874,0.5591982781887055,0.003329562582075596,0.003882889915257692,0.12101201117038726,0.10662638433277608,0.7928491050377489,5
trump1,trump,en,2021-01-19,farewell_address,0.26570942126480596,0.1391645011151143,0.19878807959945075,0.2208310075636421,0.03974366094917059,0.04735535089483684,0.01886814888400425,0.02490515058161691,0.08715990022756159,0.01574751713113593,0.008378184218599927,0.023601488476353034,0.05130581787255194,0.05810301920116347,0.04077241910688047,0.03574088142652597,0.018665531870543157,0.001966411532651234,0.009993352931425241,0.006620339926614959,0.0029284308953460175,0.0014043573838924722,0.0019843709867148262,0.0033219157880271916,0.0019234331879748165,0.0008507335400541446,0.0029018710016056764,0.0010478073735222487,0.7290136951154896,0.18964570654290064,0.08134060170102332,0.45829769782721996,0.0659423952290256,0.05094273292758901,0.06657620501105807,0.19878807959945075,0.6476730934144663,28
trump2,trump,en,,composite_excerpts,0.20010794699192047,0.5398619235493243,0.06295895483344793,0.13986502587795258,0.011112913955003023,0.013581338183333477,0.0679054403056701,0.07105848131080468,0.11714007332921028,0.009387614050259193,0.0028474926948547363,0.00566700395817558,0.032981807055572666,0.0023217214814697704,0.0046582825016230345,0.04867379801968733,0.001830895625365277,0.00047973310574889183,0.13888638094067574,0.0012838645294929545,0.0008965760353021324,0.0013457013798567157,0.001251374992231528,0.0023511825129389763,0.0012564006707786273,0.0013653600666051109,0.000875464582350105,0.001995177590288222,0.8901683290799459,0.10095874965190887,0.008872903417795897,0.6081108053525289,0.0024987433959419527,0.006742612924426794,0.04867379801968733,0.06295895483344793,0.88129542566215,3
trump3,trump,en,2017-01-20,inaugural_address,0.1064142977599712,0.16814012444742463,0.2711962889879942,0.22100739027647412,0.033687897355240935,0.01550298647420919,0.011123569182339399,0.008101173464263626,0.10123807224718963,0.0058507269303150035,0.0019621588460936703,0.027034096721121493,0.06686925534706782,0.07142516834360055,0.03912639256347628,0.02218265654793119,0.06314590528114315,0.00114300124508137,0.003342079483178061,0.0017242191859301837,0.0023274110828745455,0.001285894280847381,0.001957556571784046,0.003938087043078507,0.0017811463981428567,0.000616017624612569,0.001188144863322925,0.0011507648296709009,0.5822084469392019,0.2683398876996601,0.14945168791831853,0.3785150469664265,0.0958097874707378,0.04687916006728569,0.04526410755865714,0.2711962889879942,0.4327567590208834,17
