chunk_id,speech_id,leader,language,speech_date,speech_type,chunk_index,token_count,word_count,emo_admiration,emo_gratitude,emo_neutral,emo_approval,emo_realization,emo_pride,emo_excitement,emo_joy,emo_optimism,emo_relief,emo_surprise,emo_annoyance,emo_caring,emo_disappointment,emo_disapproval,emo_desire,emo_sadness,emo_embarrassment,emo_love,emo_fear,emo_grief,emo_confusion,emo_disgust,emo_anger,emo_remorse,emo_amusement,emo_nervousness,emo_curiosity,sent_positive,sent_neutral,sent_negative,fam_affiliative_positive,fam_threat_negative,fam_hostility,fam_cognitive_other,fam_neutral,valence
macron2025_c006,macron2025,macron,en,2025-12-31,new_year_address,6,99,88,0.017189092934131622,0.006642650812864304,0.18501123785972595,0.26612862944602966,0.011764120310544968,0.0023803284857422113,0.004951330367475748,0.002256716601550579,0.3444499671459198,0.0025135537143796682,0.0005412751343101263,0.003916400484740734,0.1121198758482933,0.002254086546599865,0.004608559422194958,0.17910562455654144,0.0014055917272344232,0.00030088756466284394,0.004963057115674019,0.0023345507215708494,0.0005665049538947642,0.0014516001101583242,0.0008620366570539773,0.0011425992706790566,0.001268394640646875,0.0005387268611229956,0.001201246865093708,0.0023533347994089127,0.7301397919654846,0.2619565725326538,0.007903638295829296,0.3444499671459198,0.0023345507215708494,0.004608559422194958,0.17910562455654144,0.18501123785972595,0.7222361536696553
macron2025_c007,macron2025,macron,en,2025-12-31,new_year_address,7,98,84,0.032222967594861984,0.007861536927521229,0.17138983309268951,0.21887080371379852,0.01288691721856594,0.003466186113655567,0.012517930939793587,0.0038201056886464357,0.5800364017486572,0.0021877498365938663,0.0014581360155716538,0.006030989345163107,0.014686759561300278,0.004564815666526556,0.007674018852412701,0.2203669399023056,0.001296313595958054,0.00034499939647503197,0.001333809457719326,0.0009817993268370628,0.0004648719623219222,0.0016464509535580873,0.0007993988110683858,0.0011613246751949191,0.0008338477928191423,0.0010976598132401705,0.0005570017965510488,0.0030051397625356913,0.1624152958393097,0.7634060978889465,0.07417865842580795,0.5800364017486572,0.004564815666526556,0.007674018852412701,0.2203669399023056,0.17138983309268951,0.08823663741350174
macron2025_c008,macron2025,macron,en,2025-12-31,new_year_address,8,169,146,0.04873877763748169,0.012186295352876186,0.0949016883969307,0.12545154988765717,0.008045762777328491,0.00303035625256598,0.006217838730663061,0.003300360171124339,0.13717463612556458,0.0019496582681313157,0.0008445932762697339,0.010429725982248783,0.04857421666383743,0.005165498703718185,0.0066649396903812885,0.745238184928894,0.0029886600095778704,0.0005524870357476175,0.008891124278306961,0.0012368159368634224,0.00089908397058025,0.001628756639547646,0.00287024793215096,0.002454139059409499,0.0021839390974491835,0.0009598940960131586,0.0010278779082000256,0.0048844111151993275,0.7693013548851013,0.2126825600862503,0.018016081303358078,0.13717463612556458,0.005165498703718185,0.010429725982248783,0.745238184928894,0.0949016883969307,0.7512852735817432
macron2025_c009,macron2025,macron,en,2025-12-31,new_year_address,9,47,44,0.011696763336658478,0.0034031381364911795,0.12812085449695587,0.028554504737257957,0.006451396271586418,0.0013262415304780006,0.005100868176668882,0.003415571292862296,0.06196564808487892,0.001178732723928988,0.0009363104472868145,0.014599472284317017,0.017215488478541374,0.010734460316598415,0.0063573201186954975,0.826287567615509,0.006335928104817867,0.0006993627757765353,0.00707780197262764,0.001675894483923912,0.0010059289634227753,0.0020019446965306997,0.004350566305220127,0.0030275729950517416,0.002200193703174591,0.001930060563609004,0.0014737043529748917,0.004702992737293243,0.2603086829185486,0.6597538590431213,0.07993748039007187,0.06196564808487892,0.010734460316598415,0.014599472284317017,0.826287567615509,0.12812085449695587,0.18037120252847672
macron2025_c010,macron2025,macron,en,2025-12-31,new_year_address,10,172,150,0.058504197746515274,0.005120135378092527,0.2472611665725708,0.39409157633781433,0.01827128604054451,0.00578279048204422,0.008419126272201538,0.003723874920979142,0.3146551251411438,0.0034259031526744366,0.0008385975961573422,0.004683015868067741,0.02410762757062912,0.003172292374074459,0.004739526193588972,0.1307922750711441,0.0011709420941770077,0.0002959435514640063,0.0019351727096363902,0.0012850943021476269,0.0004979301011189818,0.0014342134818434715,0.0008032767800614238,0.0008219178416766226,0.0006222904194146395,0.0005825267871841788,0.0007967990823090076,0.0018390767509117723,0.6909895539283752,0.2956033945083618,0.01340705156326294,0.39409157633781433,0.003172292374074459,0.004739526193588972,0.1307922750711441,0.2472611665725708,0.6775825023651123
macron2025_c011,macron2025,macron,en,2025-12-31,new_year_address,11,104,88,0.016432538628578186,0.005215856246650219,0.10290107876062393,0.041487809270620346,0.00568518228828907,0.0014649579534307122,0.0042823441326618195,0.0037447211798280478,0.3464635908603668,0.0013714953092858195,0.0007636688533239067,0.007487169001251459,0.05046655610203743,0.0064758541993796825,0.0065843272022902966,0.6729309558868408,0.0031070683617144823,0.00033105353941209614,0.006648622918874025,0.0010272832587361336,0.0007044076919555664,0.001547876512631774,0.0014650402590632439,0.001477086916565895,0.001885610050521791,0.0014010376762598753,0.000881590589415282,0.0031956667080521584,0.8144807815551758,0.1769518256187439,0.00856737233698368,0.3464635908603668,0.0064758541993796825,0.007487169001251459,0.6729309558868408,0.10290107876062393,0.8059134092181921
macron2025_c012,macron2025,macron,en,2025-12-31,new_year_address,12,188,149,0.06799892336130142,0.043710969388484955,0.056997526437044144,0.09241988509893417,0.003968515433371067,0.004221891984343529,0.01713799126446247,0.01329009048640728,0.18329274654388428,0.003975884523242712,0.0007996681961230934,0.0061115967109799385,0.19388872385025024,0.0028828540816903114,0.004854970145970583,0.641247570514679,0.002656721044331789,0.0003646573459263891,0.017053499817848206,0.0012026162585243583,0.0010511161526665092,0.0011471742764115334,0.0013284519081935287,0.001696638879366219,0.0021264965180307627,0.0011820248328149319,0.0012915091356262565,0.005199895240366459,0.7064918279647827,0.2722134590148926,0.021294724196195602,0.19388872385025024,0.0028828540816903114,0.0061115967109799385,0.641247570514679,0.056997526437044144,0.6851971037685871
merkel1_c000,merkel1,merkel,en,2016-12-31,new_year_address,0,130,105,0.05554715171456337,0.00629994785413146,0.24256303906440735,0.28220248222351074,0.04526801034808159,0.009382315911352634,0.007194182835519314,0.004407112020999193,0.19697074592113495,0.006980256177484989,0.001426577684469521,0.01338526513427496,0.011246108449995518,0.03756950423121452,0.011093582026660442,0.12888333201408386,0.007865036837756634,0.0007716465042904019,0.0020091277547180653,0.0036129786167293787,0.0014286953955888748,0.002740591298788786,0.001151815871708095,0.0011709098471328616,0.001374420360662043,0.00025067912065424025,0.003144863760098815,0.0017528170719742775,0.5922900438308716,0.3568171560764313,0.05089280381798744,0.28220248222351074,0.03756950423121452,0.01338526513427496,0.12888333201408386,0.24256303906440735,0.5413972400128841
merkel1_c001,merkel1,merkel,en,2016-12-31,new_year_address,1,84,74,0.002882944419980049,0.00024210977426264435,0.20447172224521637,0.07071548700332642,0.010356104001402855,0.00022147232084535062,0.001371708931401372,0.0004956091870553792,0.004400687292218208,0.0003963344497606158,0.002714923582971096,0.16752378642559052,0.005297729279845953,0.04786687716841698,0.05725487694144249,0.002913064556196332,0.014231160283088684,0.00623612105846405,0.0015759096713736653,0.007999708876013756,0.0010222129058092833,0.03801745921373367,0.028946593403816223,0.05112166330218315,0.001010156120173633,0.0005660931346938014,0.00230469205416739,0.3022730052471161,0.00771966902539134,0.10651672631502151,0.8857635855674744,0.07071548700332642,0.04786687716841698,0.16752378642559052,0.3022730052471161,0.20447172224521637,-0.878043916542083
merkel1_c002,merkel1,merkel,en,2016-12-31,new_year_address,2,114,100,0.0259243194013834,0.0006375241209752858,0.16743022203445435,0.2305523306131363,0.032894786447286606,0.0012712277239188552,0.0028995766770094633,0.0018134353449568152,0.06747815757989883,0.004267766140401363,0.0029722994659096003,0.00841557141393423,0.06979700177907944,0.07798250764608383,0.019620325416326523,0.009676145389676094,0.09754538536071777,0.001183015527203679,0.004474346525967121,0.01258167251944542,0.004780678078532219,0.07767954468727112,0.0008996902615763247,0.0021269407588988543,0.005869045853614807,0.00034932646667584777,0.018796084448695183,0.1851552575826645,0.3913290500640869,0.499130517244339,0.10954045504331589,0.2305523306131363,0.09754538536071777,0.019620325416326523,0.1851552575826645,0.16743022203445435,0.281788595020771
merkel1_c003,merkel1,merkel,en,2016-12-31,new_year_address,3,105,90,0.1971370130777359,0.011114421300590038,0.23228807747364044,0.5910726189613342,0.043453920632600784,0.012460914440453053,0.0020574587397277355,0.001918140915222466,0.08930052816867828,0.0071122972294688225,0.0008243328775279224,0.009673481807112694,0.03761385753750801,0.006845589727163315,0.011746061034500599,0.006593387573957443,0.0034145473036915064,0.0007401948096230626,0.0020105326548218727,0.0015667008701711893,0.0010746321640908718,0.00109293672721833,0.001149508636444807,0.0018256788607686758,0.0015040847938507795,0.0002776595938485116,0.0007503357483074069,0.0005960527341812849,0.7068154215812683,0.2567659616470337,0.036418575793504715,0.5910726189613342,0.006845589727163315,0.011746061034500599,0.043453920632600784,0.23228807747364044,0.6703968457877636
merkel1_c004,merkel1,merkel,en,2016-12-31,new_year_address,4,148,125,0.007146462798118591,0.002209343248978257,0.40207454562187195,0.15278945863246918,0.1724153310060501,0.00247307145036757,0.0012863206211477518,0.0023278810549527407,0.2825068533420563,0.008194662630558014,0.001815546303987503,0.020529333502054214,0.014844238758087158,0.12701672315597534,0.023874536156654358,0.010043969377875328,0.01606684736907482,0.0025473006535321474,0.0008422401733696461,0.002889032941311598,0.0017294653225690126,0.009900957345962524,0.0010856847511604428,0.0012565504293888807,0.004973698873072863,0.0006127554806880653,0.004771305713802576,0.001886666053906083,0.5344665050506592,0.44267702102661133,0.022856462746858597,0.2825068533420563,0.12701672315597534,0.023874536156654358,0.1724153310060501,0.40207454562187195,0.5116100423038006
merkel1_c005,merkel1,merkel,en,2016-12-31,new_year_address,5,140,124,0.012588617391884327,0.0011411127634346485,0.377533882856369,0.44774699211120605,0.025591615587472916,0.001197831123135984,0.0021177902817726135,0.001354725332930684,0.0430215559899807,0.0021975270938128233,0.0005032556946389377,0.015561900101602077,0.011853919364511967,0.014268701896071434,0.17080067098140717,0.0202208049595356,0.0029459933284670115,0.0003891269152518362,0.0013534616446122527,0.000855680147651583,0.00041300238808616996,0.003503929590806365,0.000938939570914954,0.0014325611991807818,0.0005893910420127213,0.0004396456351969391,0.0007251390488818288,0.0017847898416221142,0.04147937893867493,0.44393691420555115,0.5145836472511292,0.44774699211120605,0.014268701896071434,0.17080067098140717,0.025591615587472916,0.377533882856369,-0.4731042683124542
merkel1_c006,merkel1,merkel,en,2016-12-31,new_year_address,6,124,105,0.03864876925945282,0.003340943716466427,0.3535795509815216,0.42857104539871216,0.04661920666694641,0.004597868770360947,0.0025911149568855762,0.001984567381441593,0.08298037946224213,0.0024816272780299187,0.0007003953214734793,0.03138355165719986,0.004360102117061615,0.01581667736172676,0.07152380049228668,0.017136353999376297,0.0015648388070985675,0.0006113779381848872,0.0008072135969996452,0.000508455210365355,0.00047540682135149837,0.0028078369796276093,0.0012558408780023456,0.0022154198959469795,0.0005081949639134109,0.0003837118565570563,0.0004246100434102118,0.001016144291497767,0.37514957785606384,0.5796480178833008,0.04520241916179657,0.42857104539871216,0.01581667736172676,0.07152380049228668,0.04661920666694641,0.3535795509815216,0.3299471586942673
merkel1_c007,merkel1,merkel,en,2016-12-31,new_year_address,7,100,91,0.29703712463378906,0.020625878125429153,0.15611311793327332,0.42076852917671204,0.029505621641874313,0.02101525105535984,0.011311673559248447,0.015200657770037651,0.17694565653800964,0.015648262575268745,0.0027825741562992334,0.002714717062190175,0.02379794605076313,0.003207501722499728,0.0034786139149218798,0.010159565135836601,0.0014461618848145008,0.00041083208634518087,0.0011858518701046705,0.0013611458707600832,0.0009319555247202516,0.0012480452423915267,0.0005214998382143676,0.0005233856500126421,0.0007957466295920312,0.0005101970746181905,0.0008825588156469166,0.0010568051366135478,0.9622458219528198,0.03268430382013321,0.005069837439805269,0.42076852917671204,0.003207501722499728,0.0034786139149218798,0.029505621641874313,0.15611311793327332,0.9571759845130146
merkel1_c008,merkel1,merkel,en,2016-12-31,new_year_address,8,84,77,0.12166091799736023,0.007718139793723822,0.22898507118225098,0.37512725591659546,0.017774337902665138,0.005757309030741453,0.013445397838950157,0.003653788473457098,0.3378460705280304,0.002704255748540163,0.0014870002632960677,0.0028901402838528156,0.018349550664424896,0.002543136477470398,0.00453524012118578,0.07424895465373993,0.0008241874747909606,0.0002533280639909208,0.0018547968938946724,0.0012767227599397302,0.0004376893339212984,0.002341159153729677,0.000698525516781956,0.0005830800510011613,0.0006519823800772429,0.0006013542879372835,0.00067571469116956,0.003071487881243229,0.9461819529533386,0.04938899353146553,0.004429031163454056,0.37512725591659546,0.002543136477470398,0.00453524012118578,0.07424895465373993,0.22898507118225098,0.9417529217898846
merkel1_c009,merkel1,merkel,en,2016-12-31,new_year_address,9,120,96,0.07833167910575867,0.1578942835330963,0.03031279891729355,0.09824948757886887,0.004001957830041647,0.005772939883172512,0.014535860158503056,0.03206944465637207,0.4168326258659363,0.011717948131263256,0.0010701142018660903,0.003931059967726469,0.6893180012702942,0.0018023845041170716,0.004431868903338909,0.10794711858034134,0.003259656485170126,0.00039916610694490373,0.02998451516032219,0.002185685560107231,0.0018553495174273849,0.0015125637874007225,0.000778508372604847,0.0017655635019764304,0.004329530056566,0.0011797896586358547,0.0020987908355891705,0.0037793987430632114,0.9174314737319946,0.07583921402692795,0.0067292931489646435,0.6893180012702942,0.004329530056566,0.004431868903338909,0.10794711858034134,0.03031279891729355,0.91070218058303
merkel2_c000,merkel2,merkel,en,2017-12-31,new_year_address,0,104,94,0.018414197489619255,0.08023563027381897,0.11530300229787827,0.10122974961996078,0.020078513771295547,0.014065433293581009,0.03883308172225952,0.22948074340820312,0.03476706147193909,0.0851326733827591,0.0010886628879234195,0.005008297506719828,0.1431197077035904,0.004259919282048941,0.0036528771743178368,0.02202078513801098,0.00828547216951847,0.001164145302027464,0.0030063060112297535,0.002261414425447583,0.0020669871009886265,0.0011540761915966868,0.0007755791302770376,0.0007482714136131108,0.002830584067851305,0.0010530294384807348,0.007235918194055557,0.0008815800538286567,0.9434626698493958,0.051751747727394104,0.0047855740413069725,0.22948074340820312,0.00828547216951847,0.005008297506719828,0.02202078513801098,0.11530300229787827,0.9386770958080888
merkel2_c001,merkel2,merkel,en,2017-12-31,new_year_address,1,88,77,0.7598099708557129,0.014631136320531368,0.1694869101047516,0.3171065151691437,0.02320336364209652,0.014516562223434448,0.0038975465577095747,0.003983382601290941,0.02219562791287899,0.004101292230188847,0.0013960112119093537,0.005550522357225418,0.009604466147720814,0.004159301985055208,0.006695499178022146,0.0027539534494280815,0.001617795554921031,0.00046650838339701295,0.0020531134214252234,0.0006247578421607614,0.0006926506175659597,0.0011093445355072618,0.000741040741559118,0.0012290898011997342,0.0006801579147577286,0.0003326569276396185,0.00028283949359320104,0.0009382210555486381,0.9674005508422852,0.028465421870350838,0.004133969079703093,0.7598099708557129,0.004159301985055208,0.006695499178022146,0.02320336364209652,0.1694869101047516,0.9632665817625821
merkel2_c002,merkel2,merkel,en,2017-12-31,new_year_address,2,88,80,0.0004970557056367397,0.00031442928593605757,0.7626425623893738,0.01622091792523861,0.03892805427312851,0.00025019366876222193,0.000402271980419755,0.0007888885447755456,0.010498415678739548,0.0013846713118255138,0.0014453454641625285,0.04288104176521301,0.009227766655385494,0.07299888879060745,0.05267951637506485,0.002602951368317008,0.028230926021933556,0.0023147452156990767,0.00038795641739852726,0.0069069149903953075,0.0014002854004502296,0.03155049309134483,0.002142774173989892,0.0023187557235360146,0.002467268379405141,0.0005598128773272038,0.00927978940308094,0.007044350262731314,0.018102027475833893,0.26076561212539673,0.7211323380470276,0.01622091792523861,0.07299888879060745,0.05267951637506485,0.03892805427312851,0.7626425623893738,-0.7030303105711937
merkel2_c003,merkel2,merkel,en,2017-12-31,new_year_address,3,81,70,0.1956048160791397,0.03514576330780983,0.1274571418762207,0.4376441538333893,0.023719392716884613,0.014150618575513363,0.005273959133774042,0.0033388298470526934,0.12860620021820068,0.009467609226703644,0.0008101757848635316,0.004354498349130154,0.17137014865875244,0.003345376579090953,0.006006940733641386,0.03294743224978447,0.0028795881662517786,0.0005607041530311108,0.0033265231177210808,0.002975134178996086,0.0012257525231689215,0.0017155584646388888,0.0007613128400407732,0.0011489760363474488,0.002407935680821538,0.00028380489675328135,0.0022378561552613974,0.0013689389452338219,0.4087592363357544,0.5054512619972229,0.08578946441411972,0.4376441538333893,0.003345376579090953,0.006006940733641386,0.03294743224978447,0.1274571418762207,0.3229697719216347
merkel2_c004,merkel2,merkel,en,2017-12-31,new_year_address,4,91,78,0.12506406009197235,0.009149455465376377,0.2551029622554779,0.46319717168807983,0.02136836014688015,0.006993181072175503,0.005413379520177841,0.0038801629561930895,0.28147000074386597,0.0045424229465425014,0.0009513615514151752,0.0030164357740432024,0.032449983060359955,0.002656711032614112,0.004761585965752602,0.018539629876613617,0.0009765364229679108,0.00027163742925040424,0.0016091656871140003,0.0008490651962347329,0.00050992367323488,0.001419114414602518,0.0005728975520469248,0.0005795641918666661,0.000708258303347975,0.000541369547136128,0.0005129165365360677,0.0013139228103682399,0.8542909026145935,0.13360193371772766,0.012107175774872303,0.46319717168807983,0.002656711032614112,0.004761585965752602,0.02136836014688015,0.2551029622554779,0.8421837268397212
merkel2_c005,merkel2,merkel,en,2017-12-31,new_year_address,5,80,64,0.004812467377632856,0.001548007014207542,0.8384431004524231,0.1680617332458496,0.023393288254737854,0.0005775666213594377,0.0007930026040412486,0.0006570600089617074,0.018138758838176727,0.000851979129947722,0.0003035270783584565,0.005685702431946993,0.005278103519231081,0.0020682152826339006,0.006142870523035526,0.0024152155965566635,0.0008032725309021771,0.0002309055271325633,0.0006558794411830604,0.000664223509375006,0.00019364179752301425,0.0016518764896318316,0.0008570553618483245,0.0008182875462807715,0.0003417544940020889,0.00040562174399383366,0.0003259444492869079,0.000644214334897697,0.6186344623565674,0.36772027611732483,0.013645286671817303,0.1680617332458496,0.0020682152826339006,0.006142870523035526,0.023393288254737854,0.8384431004524231,0.6049891756847501
merkel2_c006,merkel2,merkel,en,2017-12-31,new_year_address,6,110,93,0.03639741986989975,0.007482318673282862,0.338058739900589,0.39967280626296997,0.013226400129497051,0.003052453277632594,0.0028001198079437017,0.0015964023768901825,0.19468899071216583,0.003586862701922655,0.000429215986514464,0.004333776887506247,0.17105256021022797,0.0019840437453240156,0.006078530568629503,0.03872894495725632,0.001214194344356656,0.00027284023235552013,0.0027573746629059315,0.0012955644633620977,0.000570708594750613,0.00138819869607687,0.0007816475699655712,0.001036001369357109,0.0010229640174657106,0.0004481978539843112,0.00081885966937989,0.0016208784654736519,0.6020406484603882,0.3811914026737213,0.01676793023943901,0.39967280626296997,0.0019840437453240156,0.006078530568629503,0.03872894495725632,0.338058739900589,0.5852727182209492
