leader,framing,metric,point,ci_low,ci_high,boot_sd,n_speeches
putin,future_orientation,pct,0.5581681818181818,0.389054536819458,0.7112500071525574,0.08351632952690125,4
putin,us_vs_them,pct,0.5566848484848484,0.49140000343322754,0.6337000131607056,0.03958413749933243,4
putin,gratitude_recognition,pct,0.7444666666666667,0.7121666669845581,0.7738999724388123,0.015307302586734295,4
putin,promises_commitments,pct,0.438239393939394,0.3306181728839874,0.5151666402816772,0.04725031182169914,4
trump,conflict_threat_framing,pct,0.5981335200746966,0.5027142763137817,0.6843529343605042,0.04301977530121803,3
trump,cooperation_solidarity_framing,pct,0.5188702147525678,0.37533333897590637,0.6907058954238892,0.0748496875166893,3
trump,past_orientation,pct,0.4920429505135388,0.3766666650772095,0.5831764936447144,0.04973573982715607,3
trump,future_orientation,pct,0.5026489262371615,0.3701428472995758,0.6344705820083618,0.062259603291749954,3
trump,us_vs_them,pct,0.7693622782446311,0.6886666417121887,0.9147058725357056,0.059030938893556595,3
trump,gratitude_recognition,pct,0.6781008403361345,0.6157143115997314,0.7445882558822632,0.030365822836756706,3
trump,promises_commitments,pct,0.6930513538748834,0.5174285769462585,0.7926666736602783,0.07271809875965118,3
erdogan,conflict_threat_framing,rate,0.2104395604395604,0.06428571790456772,0.3642857074737549,0.07834958285093307,5
erdogan,cooperation_solidarity_framing,rate,0.17728937728937724,0.06410256773233414,0.3153846263885498,0.06557928770780563,5
erdogan,past_orientation,rate,0.26010989010989005,0.17421703040599823,0.32582417130470276,0.03964800015091896,5
erdogan,future_orientation,rate,0.2591575091575091,0.11868131905794144,0.36868131160736084,0.06299018859863281,5
erdogan,us_vs_them,rate,0.09252747252747252,0.015384615398943424,0.18681319057941437,0.04606639966368675,5
erdogan,gratitude_recognition,rate,0.10714285714285714,0.0,0.22142857313156128,0.05842600390315056,5
erdogan,promises_commitments,rate,0.1731501831501831,0.11857143044471741,0.23428571224212646,0.03088223561644554,5
macron,conflict_threat_framing,rate,0.20885580671764878,0.17269736528396606,0.2450142502784729,0.019763421267271042,4
macron,cooperation_solidarity_framing,rate,0.18007291198080666,0.11513157933950424,0.2450142502784729,0.03340928256511688,4
macron,past_orientation,rate,0.21551441370520313,0.1680161952972412,0.28067129850387573,0.029781067743897438,4
macron,future_orientation,rate,0.2824730094466936,0.24038460850715637,0.3245614171028137,0.021225273609161377,4
macron,us_vs_them,rate,0.06942570100464834,0.01923076994717121,0.12426900863647461,0.02679854817688465,4
macron,gratitude_recognition,rate,0.19930368121157593,0.11513157933950424,0.283475786447525,0.04320935904979706,4
macron,promises_commitments,rate,0.2931567701304543,0.2361111044883728,0.3509615361690521,0.031606197357177734,4
merkel,conflict_threat_framing,rate,0.23333333333333334,0.10555555671453476,0.4027777910232544,0.0809643566608429,4
merkel,cooperation_solidarity_framing,rate,0.4,0.2611111104488373,0.5166666507720947,0.06545743346214294,4
merkel,past_orientation,rate,0.1361111111111111,0.05000000074505806,0.2222222238779068,0.04649290069937706,4
merkel,future_orientation,rate,0.1611111111111111,0.10000000149011612,0.2222222238779068,0.030337894335389137,4
merkel,us_vs_them,rate,0.1527777777777778,0.05000000074505806,0.2527777850627899,0.05540011450648308,4
merkel,gratitude_recognition,rate,0.15833333333333333,0.10555555671453476,0.21111111342906952,0.026278957724571228,4
merkel,promises_commitments,rate,0.21388888888888888,0.13055555522441864,0.30000001192092896,0.04043499752879143,4
putin,conflict_threat_framing,rate,0.21780303030303028,0.0625,0.38257575035095215,0.07981168478727341,4
putin,cooperation_solidarity_framing,rate,0.37462121212121213,0.21590909361839294,0.5634375214576721,0.09620831906795502,4
putin,past_orientation,rate,0.5886363636363636,0.42500001192092896,0.8636363744735718,0.12001743167638779,4
putin,future_orientation,rate,0.3727272727272727,0.1931818127632141,0.5,0.08302620053291321,4
putin,us_vs_them,rate,0.3784090909090909,0.2874999940395355,0.4661363661289215,0.04606746509671211,4
putin,gratitude_recognition,rate,0.5174242424242425,0.375,0.6181818246841431,0.06060805171728134,4
putin,promises_commitments,rate,0.1125,0.0,0.22499999403953552,0.057168688625097275,4
