chunk_id,speech_id,leader,cluster,membership_probability,outlier_score
erdogan2023_c011,erdogan2023,erdogan,-1,0.0,0.22363859279485707
erdogan2023_c012,erdogan2023,erdogan,-1,0.0,0.22842281642498322
erdogan2023_c013,erdogan2023,erdogan,5,0.9495926014107916,0.19236906048861502
erdogan2023_c014,erdogan2023,erdogan,-1,0.0,0.3013951121969695
erdogan2023_c015,erdogan2023,erdogan,0,0.9741324255363001,0.025867574463699913
erdogan2023_c016,erdogan2023,erdogan,5,0.9495926014107916,0.19236906048861502
erdogan2023_c017,erdogan2023,erdogan,-1,0.0,0.23873618258234616
erdogan2023_c018,erdogan2023,erdogan,5,0.9552528003951101,0.18755504675605758
erdogan2024_c000,erdogan2024,erdogan,5,1.0,0.0
erdogan2024_c001,erdogan2024,erdogan,-1,0.0,0.25465384266778557
erdogan2024_c002,erdogan2024,erdogan,-1,0.0,0.2456708101326274
erdogan2024_c003,erdogan2024,erdogan,-1,0.0,0.22492424820154502
erdogan2024_c004,erdogan2024,erdogan,7,0.9542664456628245,0.045733554337175526
erdogan2024_c005,erdogan2024,erdogan,-1,0.0,0.2152940449868993
erdogan2024_c006,erdogan2024,erdogan,-1,0.0,0.2152552728537785
erdogan2024_c007,erdogan2024,erdogan,-1,0.0,0.29699969227223555
erdogan2024_c008,erdogan2024,erdogan,-1,0.0,0.21345068180077137
erdogan2024_c009,erdogan2024,erdogan,0,0.9739620526028423,0.026037947397157698
erdogan2024_c010,erdogan2024,erdogan,-1,0.0,0.2552642527952197
erdogan2024_c011,erdogan2024,erdogan,-1,0.0,0.27799857439407655
erdogan2024_c012,erdogan2024,erdogan,-1,0.0,0.25650074012965335
erdogan2024_c013,erdogan2024,erdogan,0,1.0,0.0
erdogan2024_c014,erdogan2024,erdogan,-1,0.0,0.23648519292708858
erdogan2024_c015,erdogan2024,erdogan,5,1.0,0.0
erdogan2025_c000,erdogan2025,erdogan,5,1.0,0.0
erdogan2025_c001,erdogan2025,erdogan,5,1.0,0.14949743888957948
erdogan2025_c002,erdogan2025,erdogan,-1,0.0,0.2689345125974621
erdogan2025_c003,erdogan2025,erdogan,7,1.0,0.0
erdogan2025_c004,erdogan2025,erdogan,7,0.942755395557945,0.05724460444205504
erdogan2025_c005,erdogan2025,erdogan,-1,0.0,0.23939787777558116
erdogan2025_c006,erdogan2025,erdogan,6,1.0,0.0
erdogan2025_c007,erdogan2025,erdogan,6,1.0,0.0
erdogan2025_c008,erdogan2025,erdogan,-1,0.0,0.22873535615750631
erdogan2025_c009,erdogan2025,erdogan,0,0.9739620526028423,0.026037947397157698
erdogan2025_c010,erdogan2025,erdogan,-1,0.0,0.23559040669573486
erdogan2025_c011,erdogan2025,erdogan,0,0.9739620526028423,0.026037947397157698
erdogan2025_c012,erdogan2025,erdogan,-1,0.0,0.2327798909311633
erdogan2025_c013,erdogan2025,erdogan,-1,0.0,0.07297566898353411
erdogan2025_c014,erdogan2025,erdogan,-1,0.0,0.2383561957834028
erdogan2025_c015,erdogan2025,erdogan,-1,0.0,0.251103962289503
erdogan2025_c016,erdogan2025,erdogan,-1,0.0,0.27229075969330585
erdogan2025_c017,erdogan2025,erdogan,-1,0.0,0.30009962886686875
erdogan2025_c018,erdogan2025,erdogan,5,1.0,0.0
macron2022_c000,macron2022,macron,5,1.0,0.11579336100600404
macron2022_c001,macron2022,macron,-1,0.0,0.2454200914096684
macron2022_c002,macron2022,macron,-1,0.0,0.20087539986660813
macron2022_c003,macron2022,macron,-1,0.0,0.07004322272092985
macron2022_c004,macron2022,macron,-1,0.0,0.07004322272092985
macron2022_c005,macron2022,macron,7,1.0,0.0
macron2022_c006,macron2022,macron,-1,0.0,0.21952301413643988
macron2022_c007,macron2022,macron,-1,0.0,0.23964030106940873
macron2022_c008,macron2022,macron,-1,0.0,0.22170924197847855
macron2022_c009,macron2022,macron,7,0.9756954298820154,0.02430457011798459
macron2022_c010,macron2022,macron,7,0.9756954298820154,0.02430457011798459
macron2022_c011,macron2022,macron,7,0.9756954298820154,0.02430457011798459
macron2022_c012,macron2022,macron,-1,0.0,0.24469029222150615
macron2022_c013,macron2022,macron,-1,0.0,0.24469029222150615
macron2022_c014,macron2022,macron,8,1.0,0.0
macron2022_c015,macron2022,macron,8,1.0,0.0
macron2022_c016,macron2022,macron,-1,0.0,0.26932244733215827
macron2022_c017,macron2022,macron,-1,0.0,0.22644697329966942
macron2022_c018,macron2022,macron,-1,0.0,0.312458910308267
macron2022_c019,macron2022,macron,-1,0.0,0.22863652952028313
macron2022_c020,macron2022,macron,-1,0.0,0.06043890063988612
macron2022_c021,macron2022,macron,-1,0.0,0.21021787920810667
macron2022_c022,macron2022,macron,8,1.0,0.0
macron2022_c023,macron2022,macron,-1,0.0,0.08279127514173348
macron2022_c024,macron2022,macron,8,1.0,0.0
macron2022_c025,macron2022,macron,8,1.0,0.0
macron2022_c026,macron2022,macron,8,0.9904249330364545,0.00957506696354545
macron2022_c027,macron2022,macron,-1,0.0,0.2871623446648024
macron2022_c028,macron2022,macron,-1,0.0,0.30533145913567333
macron2022_c029,macron2022,macron,-1,0.0,0.2377021548440936
macron2022_c030,macron2022,macron,-1,0.0,0.2757843821057534
macron2022_c031,macron2022,macron,-1,0.0,0.28305695012242393
macron2022_c032,macron2022,macron,-1,0.0,0.23944919660509822
macron2022_c033,macron2022,macron,-1,0.0,0.29095906083744033
macron2022_c034,macron2022,macron,5,0.988955325255102,0.15889096304674682
macron2023_c000,macron2023,macron,5,1.0,0.11579336100600404
macron2023_c001,macron2023,macron,-1,0.0,0.2229621769173628
macron2023_c002,macron2023,macron,1,1.0,0.0
macron2023_c003,macron2023,macron,1,0.9984448287597584,0.0015551712402416674
macron2023_c004,macron2023,macron,-1,0.0,0.25690249857895747
macron2023_c005,macron2023,macron,-1,0.0,0.24239556767798068
macron2023_c006,macron2023,macron,7,0.939963167535904,0.06003683246409591
macron2023_c007,macron2023,macron,7,1.0,0.0
macron2023_c008,macron2023,macron,-1,0.0,0.23908892621929367
macron2023_c009,macron2023,macron,-1,0.0,0.22863652952028313
macron2023_c010,macron2023,macron,-1,0.0,0.21345068180077137
macron2023_c011,macron2023,macron,-1,0.0,0.21394390053585025
macron2023_c012,macron2023,macron,8,0.9885748075467784,0.011425192453221598
macron2023_c013,macron2023,macron,-1,0.0,0.2152940449868993
macron2023_c014,macron2023,macron,-1,0.0,0.2682234583995166
macron2023_c015,macron2023,macron,-1,0.0,0.22304378728813917
macron2023_c016,macron2023,macron,3,1.0,0.0
macron2023_c017,macron2023,macron,3,1.0,0.0
macron2023_c018,macron2023,macron,2,1.0,0.0
macron2023_c019,macron2023,macron,-1,0.0,0.27006707576463695
macron2023_c020,macron2023,macron,2,1.0,0.0
macron2023_c021,macron2023,macron,2,1.0,0.0
macron2023_c022,macron2023,macron,2,1.0,0.0
macron2023_c023,macron2023,macron,-1,0.0,0.21345068180077137
macron2023_c024,macron2023,macron,-1,0.0,0.20970055691014963
macron2024_c000,macron2024,macron,-1,0.0,0.21183862713034973
macron2024_c001,macron2024,macron,-1,0.0,0.25758103507319197
macron2024_c002,macron2024,macron,2,1.0,0.0
