leader,theme,metric,point,ci_low,ci_high,boot_sd,n_speeches,n_distinct_resamples
trump,democracy_institutions,pct,0.4447142857142857,0.2619999945163727,0.6539999842643738,0.09261129051446915,3,10
trump,social_solidarity,pct,0.4377945845004669,0.23133333027362823,0.6217647194862366,0.09241180866956711,3,10
trump,crisis_resilience,pct,0.41228197945845,0.17133332788944244,0.5949411988258362,0.10284875333309174,3,10
trump,future_reform_technology,pct,0.275921568627451,0.17000000178813934,0.46176469326019287,0.07557344436645508,3,10
erdogan,national_identity,cos,0.39869850076886443,0.37798917293548584,0.42429429292678833,0.011860132217407227,5,126
erdogan,security_military,cos,0.4255633197124542,0.39657172560691833,0.4507594704627991,0.014291416853666306,5,126
erdogan,economy_welfare,cos,0.3945514465157509,0.35751277208328247,0.4210689961910248,0.01634339615702629,5,126
erdogan,foreign_policy,cos,0.40499100104249075,0.38202938437461853,0.4318096935749054,0.012906912714242935,5,126
erdogan,democracy_institutions,cos,0.3945217520937728,0.3705802261829376,0.42717498540878296,0.015303094871342182,5,126
erdogan,social_solidarity,cos,0.3650194253945055,0.3407150208950043,0.3879832923412323,0.012529328465461731,5,126
erdogan,crisis_resilience,cos,0.43769874269377285,0.40774524211883545,0.46157780289649963,0.01468673162162304,5,126
erdogan,future_reform_technology,cos,0.3877385647311355,0.3728470206260681,0.40083223581314087,0.0072836363688111305,5,126
macron,national_identity,cos,0.3951745141918532,0.38971224427223206,0.4005042016506195,0.0029061895329505205,4,35
macron,security_military,cos,0.4115675808104429,0.398501455783844,0.4263261556625366,0.007381547708064318,4,35
macron,economy_welfare,cos,0.4058869254848694,0.3974919319152832,0.41363775730133057,0.004344422835856676,4,35
macron,foreign_policy,cos,0.38713036699324765,0.3712712228298187,0.4029895067214966,0.008135717362165451,4,35
macron,democracy_institutions,cos,0.3758207462102405,0.36862698197364807,0.3830145001411438,0.0038249618373811245,4,35
macron,social_solidarity,cos,0.3911955570973207,0.38106247782707214,0.3994137644767761,0.004944091662764549,4,35
macron,crisis_resilience,cos,0.45120350876529935,0.437679260969162,0.4583725333213806,0.0058775003999471664,4,35
macron,future_reform_technology,cos,0.4357868482644512,0.4280127286911011,0.44723212718963623,0.005195534322410822,4,35
merkel,national_identity,cos,0.38795685744444436,0.3767048716545105,0.396104633808136,0.005119307432323694,4,35
merkel,security_military,cos,0.4096783023055555,0.3919629156589508,0.42739370465278625,0.00886978767812252,4,35
merkel,economy_welfare,cos,0.40392320402777776,0.39454931020736694,0.4179002642631531,0.006139704957604408,4,35
merkel,foreign_policy,cos,0.40159993605555555,0.38665127754211426,0.4244420826435089,0.009743030183017254,4,35
merkel,democracy_institutions,cos,0.39514702730555556,0.38415515422821045,0.40613889694213867,0.005542609840631485,4,35
merkel,social_solidarity,cos,0.4136175396666666,0.40103670954704285,0.4261983633041382,0.0067016384564340115,4,35
merkel,crisis_resilience,cos,0.4372207717222222,0.41883736848831177,0.4556041955947876,0.009163209237158298,4,35
merkel,future_reform_technology,cos,0.4211461498611111,0.39794236421585083,0.43485820293426514,0.010217071510851383,4,35
putin,national_identity,cos,0.4466244041666667,0.4200785458087921,0.47315675020217896,0.012763654813170433,4,35
putin,security_military,cos,0.4448412149393939,0.4329524636268616,0.4603108763694763,0.007076965179294348,4,35
putin,economy_welfare,cos,0.35251844821590905,0.3437972962856293,0.362019807100296,0.004911160562187433,4,35
putin,foreign_policy,cos,0.3837874803901515,0.3772423565387726,0.3903326094150543,0.0034029416274279356,4,35
putin,democracy_institutions,cos,0.3460316296136363,0.3384835720062256,0.3543906509876251,0.004146467428654432,4,35
putin,social_solidarity,cos,0.42756038060984847,0.4030444622039795,0.4534146189689636,0.012476535513997078,4,35
putin,crisis_resilience,cos,0.44176225350757575,0.42758333683013916,0.45637378096580505,0.00775544298812747,4,35
putin,future_reform_technology,cos,0.36145674941666667,0.3445504903793335,0.3752603828907013,0.007603428326547146,4,35
trump,national_identity,cos,0.40856299927170864,0.3489020764827728,0.4666860103607178,0.027707288041710854,3,10
trump,security_military,cos,0.43153082919701213,0.4038788080215454,0.45595765113830566,0.012337891384959221,3,10
trump,economy_welfare,cos,0.4078284763188609,0.3921305239200592,0.4344150125980377,0.010835464112460613,3,10
trump,foreign_policy,cos,0.375643049388422,0.3328061103820801,0.4087360203266144,0.01836460642516613,3,10
trump,democracy_institutions,cos,0.36238698863445373,0.3272525370121002,0.40034958720207214,0.01720304973423481,3,10
trump,social_solidarity,cos,0.38260958373949566,0.3504583537578583,0.4156878590583801,0.015332421287894249,3,10
trump,crisis_resilience,cos,0.4300327908473389,0.3845385015010834,0.4620243012905121,0.019140027463436127,3,10
trump,future_reform_technology,cos,0.35503149925770305,0.33341869711875916,0.3922711908817291,0.015159589238464832,3,10
