speech_id,leader,language,speech_date,speech_type,emo_neutral,emo_sadness,emo_disappointment,emo_realization,emo_approval,emo_annoyance,emo_disapproval,emo_admiration,emo_grief,emo_relief,emo_embarrassment,emo_fear,emo_nervousness,emo_remorse,emo_joy,emo_optimism,emo_disgust,emo_anger,emo_pride,emo_surprise,emo_desire,emo_caring,emo_love,emo_gratitude,emo_confusion,emo_excitement,emo_amusement,emo_curiosity,sent_neutral,sent_negative,sent_positive,fam_affiliative_positive,fam_threat_negative,fam_hostility,fam_cognitive_other,fam_neutral,valence,n_chunks
merkel2,merkel,en,2017-12-31,new_year_address,0.3205093720720874,0.00534221439415382,0.01079926369453056,0.02127651632246044,0.26572215453618103,0.00864375033415854,0.010580414414612783,0.14191091588387886,0.0008924686941706265,0.017177541507408023,0.0006715977166701729,0.002007021736871037,0.002691979199880734,0.001334846184666579,0.037736290102151945,0.12955331036614048,0.0008883010337336196,0.001040433488217079,0.007452117651054222,0.0011331110403666066,0.0259699704280744,0.0653394267687367,0.0019790502814834732,0.11199026001203391,0.005366286418090264,0.009137599968299683,0.0005461842132111391,0.003328508606904911,0.25026931758556104,0.097447552304301,0.6522831097245216,0.4236151168329848,0.011276197710281445,0.010720269832139214,0.03546961872941918,0.3205093720720874,0.5548355574202206,9
merkel2020,merkel,en,2019-12-31,new_year_address,0.1132996694650501,0.003421931825869251,0.004788953476236202,0.0316174830077216,0.21488289255648851,0.004717991920188069,0.0064903391466941684,0.11969117040280253,0.0008161729347193614,0.0044936585763935,0.0005678344787156675,0.0045714605948887765,0.0014011730927450117,0.001387010284815915,0.006128385357442312,0.2509391854982823,0.0010365630951127969,0.0009786038062884472,0.005808945221360773,0.0032157907990040258,0.05150233188760467,0.01953199179843068,0.0014547532191500068,0.3610276255349163,0.00196261603559833,0.017695478585665114,0.0007485965252271853,0.0015900813086773269,0.25095703755505383,0.03994747393880971,0.7090954910963774,0.6482448279857635,0.0060787773109041154,0.006734764960128814,0.07055239286273718,0.1132996694650501,0.6691480171575677,8
merkel3,merkel,en,2018-12-31,new_year_address,0.2600182071328163,0.08300428870279575,0.03625898520112969,0.04932772275060415,0.23111593979410827,0.009073344757780433,0.01291474438039586,0.1557533799787052,0.002833562157320557,0.006304132170043886,0.0009405712844454683,0.0015978037372406106,0.0029459288343787193,0.0017491154649178497,0.01869613137387205,0.09840166347566992,0.0012284614131203853,0.0012763048653141595,0.005731981451390311,0.0013965504185762256,0.09591569380427245,0.014477650489425287,0.002832029313140083,0.10911413560097571,0.0022665199139737524,0.009071119173313491,0.0009789755749807227,0.0014228459040168673,0.44104280788451433,0.08158465608721599,0.47737252712249756,0.4123707888647914,0.09444400847132783,0.014452515169978142,0.13540610927157104,0.2600182071328163,0.39578787103528157,8
putin2022,putin,en,2022-12-31,new_year_address,0.1794205294414,0.010106498513116756,0.014024348961274054,0.028016052589836447,0.18849695473909378,0.018130556616762824,0.023971169827167283,0.21243424185509371,0.002182113342727958,0.010565044607078149,0.0009452907781285995,0.0076526566143994305,0.008029794151132757,0.0021828371946784582,0.024036617097656497,0.07408623344434256,0.0016347619556737218,0.0036992870419370856,0.01201663351490755,0.001548769608647986,0.05957235139794648,0.1707983924372291,0.052003448670306665,0.19526296217439018,0.0032733788565647874,0.010318735767875543,0.000636883386918767,0.0017409723659511656,0.205186329274015,0.15968299166045405,0.6351306766948916,0.45329701426354324,0.022898841871541332,0.025068930752406068,0.07848461200906472,0.1794205294414,0.47544768503443763,11
putin2023,putin,en,2023-12-31,new_year_address,0.08777179196476936,0.004455445955197017,0.004923151534361144,0.018174746617053945,0.21841144810120264,0.007634188475397726,0.006101324106566608,0.30141132573286694,0.0026504874889117977,0.0189697346650064,0.0016251710961417605,0.0026700664699698486,0.0019029713973092537,0.0030679915798828006,0.05385722138453275,0.13423873484134674,0.0017148390470538288,0.0037419541428486505,0.08928028269050022,0.00188281069858931,0.10209591686725616,0.24294984278579554,0.20142437249887735,0.037243818398565054,0.0012133376051982243,0.01806283004892369,0.0009099724362992371,0.001789929277341192,0.12074672554930051,0.006179733551107347,0.8730735580126444,0.5483411401510239,0.005494507650534312,0.008137093236049017,0.1043650849411885,0.08777179196476936,0.8668938244615371,6
putin2024,putin,en,2024-12-31,new_year_address,0.0807940075173974,0.003614837536588311,0.004475878260564059,0.019068554625846446,0.24110578186810017,0.006254118925426155,0.005327816877979785,0.3751036887988448,0.002345724293263629,0.013133131549693644,0.0011208789219381288,0.0034635387710295618,0.002006919647101313,0.0023367509711533785,0.04240443301387131,0.3130081221461296,0.0014442639367189258,0.0024231392017100006,0.0780409782892093,0.0028967609396204352,0.10901120444759727,0.14461159193888307,0.059523206640733406,0.03684473317116499,0.0012085418129572645,0.043163619469851255,0.0010390627721790224,0.0016741918079787865,0.03845982300117612,0.0028898674936499447,0.9586503356695175,0.5685814693570137,0.00503437063889578,0.00705804891185835,0.10901120444759727,0.0807940075173974,0.9557604681758676,4
putin2025,putin,en,2025-12-31,new_year_address,0.09843021593987941,0.002604186697863042,0.002331214910373092,0.008036208152770997,0.17491857707500458,0.003581638028845191,0.004091134434565902,0.1423925407230854,0.0013992979424074293,0.006899973005056381,0.0003930790117010474,0.002086115698330104,0.0015136209083721041,0.002683628792874515,0.06264548455365002,0.3947939485311508,0.0008591608377173543,0.001850164565257728,0.007617602590471506,0.0015124121448025108,0.12111740112304688,0.3353744693100452,0.10322180772200226,0.06220501698553562,0.0014179933350533247,0.03145578969269991,0.0010970060364343226,0.0030053142458200456,0.19986286871135234,0.008345724176615476,0.7917914032936096,0.5827049911022186,0.0035281521268188953,0.004211016977205872,0.12111740112304688,0.09843021593987941,0.7834456791169941,5
trump1,trump,en,2021-01-19,farewell_address,0.19982442815255905,0.018569921767006496,0.05785452175353255,0.03885566609512482,0.22873558795877866,0.02320261627236115,0.040803774850376485,0.26520653501419084,0.0028224895743603285,0.014901361910493247,0.001845145553358764,0.006555277109977656,0.0028897159884633894,0.0018793345651439658,0.026842374961623654,0.0941900630215449,0.0019147915986000694,0.003215950878386918,0.03815367278002668,0.008205886536286146,0.03776968686309244,0.05353675380216113,0.01304830757518565,0.1161675996471396,0.0014010375494503283,0.018071005910834565,0.000837236929718139,0.0010468363834661432,0.18898555536621384,0.0814150474782634,0.7295994022861123,0.4500515687146357,0.06570374814327806,0.05065287673746103,0.06824269197282515,0.19982442815255905,0.6481843548078489,28
trump2,trump,en,,composite_excerpts,0.07324476353824139,0.0026654182584024966,0.004441943601705134,0.022978340042755008,0.14489249140024185,0.007743318565189838,0.006968826055526733,0.29724315740168095,0.0012572244741022587,0.01976350834593177,0.0007693027437198907,0.001675272942520678,0.0016859222232596949,0.0008570870268158615,0.14629410742782056,0.15129543468356133,0.0011187823838554323,0.0015917921555228531,0.01964739290997386,0.005571364250499755,0.022969968616962433,0.020173449302092195,0.0026198604609817266,0.40336589491926134,0.0013377114082686603,0.11681083776056767,0.0017341715574730188,0.0014212977257557213,0.15611391887068748,0.031873177736997604,0.8120129108428955,0.5441021025180817,0.004441943601705134,0.010071794968098402,0.03001193329691887,0.07324476353824139,0.7801397331058979,2
trump3,trump,en,2017-01-20,inaugural_address,0.3050537732196972,0.06990928174491273,0.0777083809953183,0.03454151510959491,0.23057059559505433,0.026241634113830514,0.029468750071828254,0.13899809528084006,0.002529571600462077,0.006165563187096268,0.0012513945430328022,0.0017784934952942422,0.0012618618602573406,0.0018321813786315033,0.01178667488420615,0.10470522081595846,0.0018664706476556603,0.003922281634004321,0.0171464594459394,0.0021151254259166308,0.023616689242771827,0.07095699697674718,0.005717824160456075,0.06398277167318156,0.001142025055742124,0.01508904627917218,0.0005842344253323972,0.0010430524107505335,0.27360154618509114,0.14811451692366973,0.5782839311286807,0.309488499420695,0.10353638427477563,0.03804885959834792,0.04725109232822433,0.3050537732196972,0.430169414205011,16
