dimension,dimension_label,kind,leader,leader_name,rank,value,z_value,ci_low,ci_high,share_rank1,n_speeches,corpus_mean,corpus_sd
threat_negative,"Fear, sadness & loss",emotion,putin,Putin,5,0.008586279373125574,-0.7685956487956409,0.003781273029744625,0.017174754291772842,0.0,4,0.030437523203871015,0.02843009047082881
hostility,Hostility & disapproval,emotion,trump,Trump,1,0.03485483530643377,1.2222678011517762,0.006742612924426794,0.05094273388385773,0.8535,3,0.017075908743129833,0.01454585201913228
hostility,Hostility & disapproval,emotion,merkel,Merkel,2,0.019840939454216874,0.1900906669097262,0.008488662540912628,0.039337076246738434,0.1295,4,0.017075908743129833,0.01454585201913228
hostility,Hostility & disapproval,emotion,erdogan,Erdoğan,3,0.013826979686456558,-0.22335776910145447,0.008571707643568516,0.020466797053813934,0.013,5,0.017075908743129833,0.01454585201913228
hostility,Hostility & disapproval,emotion,macron,Macron,4,0.01132627766227395,-0.39527633536305373,0.009458177722990513,0.014415722340345383,0.001,4,0.017075908743129833,0.01454585201913228
hostility,Hostility & disapproval,emotion,putin,Putin,5,0.010787475511262325,-0.43231797103368563,0.004819119814783335,0.02026011049747467,0.003,4,0.017075908743129833,0.01454585201913228
valence,Sentiment valence (positive − negative),emotion,putin,Putin,1,0.7661158976105402,0.9788291772996442,0.5618596076965332,0.9121867418289185,0.7895,4,0.551762048663884,0.21899004843522052
valence,Sentiment valence (positive − negative),emotion,trump,Trump,2,0.6539084260324999,0.46644301007509864,0.4327567517757416,0.8812954425811768,0.2075,3,0.551762048663884,0.21899004843522052
valence,Sentiment valence (positive − negative),emotion,merkel,Merkel,3,0.5185116959011389,-0.15183499433117337,0.41533809900283813,0.6233357787132263,0.001,4,0.551762048663884,0.21899004843522052
valence,Sentiment valence (positive − negative),emotion,macron,Macron,4,0.46117245316966576,-0.41366991852607227,0.3971012532711029,0.5560341477394104,0.0,4,0.551762048663884,0.21899004843522052
valence,Sentiment valence (positive − negative),emotion,erdogan,Erdoğan,5,0.41806310169096017,-0.6105252175989785,0.20622478425502777,0.6299014091491699,0.002,5,0.551762048663884,0.21899004843522052
